Roll no,test preparation ,gender,parental level of education,lunch,Section,practical score,viva score,exam score
EXA005002,none,male,some college,standard,Section C,58,69,81
EXA005003,none,female,master's degree,standard,Section E,70,58,95
EXA005004,none,female,master's degree,standard,Section E,80,90,42
EXA005005,none,female,some college,free/reduced,Section D,90,75,76
EXA005006,none,male,high school,standard,Section C,80,76,89
EXA005007,none,male,some college,standard,Section C,68,78,91
EXA005008,none,female,high school,standard,Section D,69,58,68
EXA005009,none,male,high school,standard,Section C,32,81,85
EXA005010,none,male,bachelor's degree,standard,Section E,82,84,60
EXA005011,none,female,associate's degree,standard,Section D,57,79,58
EXA005012,completed,female,bachelor's degree,standard,Section A,69,86,61
EXA005013,none,male,some high school,standard,Section D,68,64,75
EXA005014,none,female,associate's degree,standard,Section E,74,72,38
EXA005015,none,male,bachelor's degree,standard,Section C,89,95,74
EXA005016,none,female,master's degree,standard,Section C,46,96,83
EXA005017,completed,male,high school,standard,Section D,76,71,97
EXA005018,none,male,master's degree,standard,Section B,86,55,87
EXA005019,none,female,high school,standard,Section C,69,91,78
EXA005020,none,male,master's degree,standard,Section A,52,74,95
EXA005021,none,male,some college,standard,Section E,63,84,64
EXA005022,none,female,associate's degree,free/reduced,Section B,96,67,74
EXA005023,completed,female,associate's degree,standard,Section B,80,60,53
EXA005024,completed,male,associate's degree,free/reduced,Section C,59,78,63
EXA005025,completed,male,some college,standard,Section B,80,90,60
EXA005026,none,female,associate's degree,standard,Section D,65,79,84
EXA005027,none,male,associate's degree,standard,Section E,74,95,74
EXA005028,none,male,associate's degree,standard,Section C,90,75,72
EXA005029,completed,male,high school,standard,Section D,69,65,74
EXA005030,completed,male,associate's degree,free/reduced,Section B,69,65,56
EXA005031,none,male,some college,standard,Section A,62,58,77
EXA005032,none,male,bachelor's degree,standard,Section E,67,46,83
EXA005033,none,female,associate's degree,standard,Section C,89,61,73
EXA005034,none,female,some high school,free/reduced,Section E,79,70,89
EXA005035,completed,male,high school,standard,Section D,67,65,63
EXA005036,completed,female,bachelor's degree,free/reduced,Section D,82,90,78
EXA005037,completed,female,some college,standard,Section B,63,77,100
EXA005038,none,male,some college,free/reduced,Section D,71,66,88
EXA005039,completed,female,some high school,standard,Section A,55,81,68
EXA005040,none,male,master's degree,standard,Section E,61,64,52
EXA005041,none,male,some high school,standard,Section D,35,69,93
EXA005042,none,female,master's degree,standard,Section D,75,77,79
EXA005043,none,female,some high school,standard,Section B,73,77,81
EXA005044,none,male,high school,standard,Section E,56,56,75
EXA005045,completed,female,associate's degree,free/reduced,Section C,80,79,67
EXA005046,none,male,associate's degree,standard,Section C,83,77,80
EXA005047,none,female,high school,standard,Section B,64,70,88
EXA005048,none,female,associate's degree,standard,Section B,23,83,80
EXA005049,none,male,master's degree,free/reduced,Section A,41,78,97
EXA005050,completed,female,high school,standard,Section A,61,69,75
EXA005051,completed,male,master's degree,free/reduced,Section B,63,56,60
EXA005052,none,female,master's degree,free/reduced,Section D,84,77,60
EXA005053,none,female,high school,standard,Section C,55,57,55
EXA005054,none,male,some college,standard,Section C,85,76,51
EXA005055,none,female,some college,standard,Section D,65,73,63
EXA005056,none,female,bachelor's degree,standard,Section C,88,99,83
EXA005057,none,male,bachelor's degree,standard,Section C,91,82,60
EXA005058,completed,female,some high school,standard,Section A,51,79,88
EXA005059,none,male,some high school,standard,Section B,73,79,77
EXA005060,completed,male,some high school,free/reduced,Section D,73,83,66
EXA005061,none,female,high school,free/reduced,Section D,100,53,74
EXA005062,none,male,associate's degree,standard,Section D,48,60,61
EXA005063,completed,male,some college,standard,Section C,98,56,64
EXA005064,none,female,master's degree,standard,Section B,68,58,80
EXA005065,completed,female,associate's degree,free/reduced,Section C,64,50,78
EXA005066,completed,female,some college,standard,Section E,72,49,60
EXA005067,completed,female,some college,free/reduced,Section A,63,72,81
EXA005068,none,male,some college,free/reduced,Section D,43,69,72
EXA005069,none,female,high school,standard,Section B,80,77,71
EXA005070,none,male,high school,standard,Section E,71,75,82
EXA005071,none,female,associate's degree,standard,Section B,91,72,80
EXA005072,none,female,associate's degree,standard,Section B,68,68,67
EXA005073,none,male,some college,standard,Section C,73,45,52
EXA005074,none,male,master's degree,free/reduced,Section E,75,56,80
EXA005075,none,male,high school,free/reduced,Section C,83,71,51
EXA005076,completed,male,some high school,standard,Section C,88,73,81
EXA005077,none,male,master's degree,free/reduced,Section E,59,70,74
EXA005078,completed,female,some high school,free/reduced,Section E,74,84,100
EXA005079,none,female,some college,standard,Section E,43,63,79
EXA005080,none,male,master's degree,standard,Section B,76,72,80
EXA005081,none,male,some high school,standard,Section A,74,89,76
EXA005082,completed,male,associate's degree,free/reduced,Section D,69,85,78
EXA005083,none,female,high school,standard,Section D,62,68,47
EXA005084,completed,male,some high school,free/reduced,Section A,61,75,57
EXA005085,none,female,high school,standard,Section D,88,98,55
EXA005086,none,female,high school,standard,Section E,64,81,57
EXA005087,none,male,master's degree,standard,Section C,65,40,50
EXA005088,completed,female,high school,free/reduced,Section E,73,75,53
EXA005089,completed,female,master's degree,free/reduced,Section C,50,82,60
EXA005090,none,female,some high school,standard,Section E,63,65,74
EXA005091,none,female,some college,standard,Section D,98,81,77
EXA005092,none,male,associate's degree,standard,Section B,90,63,82
EXA005093,completed,male,some college,standard,Section D,64,57,69
EXA005094,none,female,some high school,standard,Section E,38,66,74
EXA005095,none,male,high school,free/reduced,Section C,84,63,38
EXA005096,none,female,some high school,standard,Section C,81,89,59
EXA005097,completed,male,high school,free/reduced,Section B,82,61,74
EXA005098,none,female,associate's degree,free/reduced,Section E,64,98,68
EXA005099,none,female,some college,standard,Section B,55,94,70
EXA005100,none,male,bachelor's degree,standard,Section C,59,97,87
EXA005101,completed,male,some college,free/reduced,Section D,83,61,57
EXA005102,none,female,associate's degree,standard,Section C,76,76,67
EXA005103,completed,male,bachelor's degree,standard,Section B,83,91,86
EXA005104,completed,female,some high school,free/reduced,Section B,69,81,87
EXA005105,completed,male,some college,free/reduced,Section D,43,95,70
EXA005106,none,male,some high school,standard,Section B,52,56,73
EXA005107,completed,male,bachelor's degree,standard,Section B,56,67,94
EXA005108,none,female,some high school,free/reduced,Section D,47,66,85
EXA005109,none,female,some college,standard,Section D,71,59,44
EXA005110,none,female,high school,free/reduced,Section B,66,56,78
EXA005111,completed,male,high school,standard,Section C,81,57,80
EXA005112,completed,male,high school,standard,Section C,85,77,69
EXA005113,completed,female,associate's degree,free/reduced,Section C,76,90,87
EXA005114,none,male,high school,standard,Section C,50,77,55
EXA005115,completed,male,high school,standard,Section A,76,78,53
EXA005116,none,female,high school,standard,Section C,65,66,66
EXA005117,none,female,some college,standard,Section C,59,55,54
EXA005118,none,male,high school,free/reduced,Section C,84,90,86
EXA005119,completed,male,bachelor's degree,standard,Section B,85,61,59
EXA005120,completed,female,bachelor's degree,standard,Section B,61,81,99
EXA005121,none,male,bachelor's degree,standard,Section D,73,68,94
EXA005122,none,male,some college,standard,Section B,82,92,92
EXA005123,none,female,high school,free/reduced,Section B,75,71,57
EXA005124,completed,male,master's degree,free/reduced,Section C,91,62,67
EXA005125,completed,female,associate's degree,standard,Section B,67,48,85
EXA005126,none,male,some college,standard,Section C,62,92,77
EXA005127,none,male,some high school,standard,Section C,61,60,94
EXA005128,completed,female,some high school,free/reduced,Section D,66,25,53
EXA005129,none,male,some college,free/reduced,Section B,59,75,67
EXA005130,none,female,associate's degree,standard,Section A,88,62,58
EXA005131,none,female,some college,standard,Section C,67,80,59
EXA005132,none,female,high school,free/reduced,Section C,91,88,56
EXA005133,none,female,some high school,standard,Section D,87,71,57
EXA005134,none,female,master's degree,free/reduced,Section D,83,68,73
EXA005135,none,female,high school,free/reduced,Section D,70,78,88
EXA005136,completed,female,some college,free/reduced,Section C,83,82,77
EXA005137,none,female,some college,standard,Section C,49,63,90
EXA005138,completed,female,some college,free/reduced,Section D,65,77,70
EXA005139,none,female,high school,free/reduced,Section E,50,56,58
EXA005140,none,male,associate's degree,standard,Section C,62,70,82
EXA005141,none,male,associate's degree,standard,Section D,56,69,57
EXA005142,none,female,high school,standard,Section B,44,79,80
EXA005143,none,female,master's degree,standard,Section D,63,77,68
EXA005144,completed,female,master's degree,standard,Section C,72,81,93
EXA005145,none,male,associate's degree,standard,Section A,64,75,70
EXA005146,none,female,associate's degree,free/reduced,Section A,61,64,68
EXA005147,none,female,bachelor's degree,free/reduced,Section C,82,66,49
EXA005148,none,male,some high school,standard,Section C,57,88,88
EXA005149,none,female,high school,standard,Section C,43,62,57
EXA005150,none,female,high school,free/reduced,Section B,69,69,15
EXA005151,completed,female,some college,standard,Section B,62,79,76
EXA005152,completed,male,some college,standard,Section E,60,60,58
EXA005153,none,male,some college,standard,Section A,81,73,83
EXA005154,none,male,bachelor's degree,free/reduced,Section B,68,45,90
EXA005155,none,female,bachelor's degree,standard,Section C,65,80,76
EXA005156,none,female,master's degree,standard,Section A,59,57,72
EXA005157,none,male,high school,standard,Section C,81,64,82
EXA005158,none,female,associate's degree,standard,Section D,84,78,93
EXA005159,none,female,associate's degree,standard,Section E,56,82,66
EXA005160,none,female,bachelor's degree,free/reduced,Section C,71,50,77
EXA005161,none,male,master's degree,standard,Section D,93,69,47
EXA005162,none,male,bachelor's degree,free/reduced,Section C,77,50,72
EXA005163,completed,female,some college,free/reduced,Section B,50,57,70
EXA005164,none,male,high school,standard,Section D,75,84,73
EXA005165,none,female,some high school,standard,Section B,64,68,81
EXA005166,completed,female,high school,standard,Section C,77,79,80
EXA005167,none,female,associate's degree,standard,Section C,64,72,72
EXA005168,none,female,some high school,standard,Section D,71,61,66
EXA005169,completed,female,bachelor's degree,standard,Section B,58,59,73
EXA005170,none,female,some high school,standard,Section A,47,88,85
EXA005171,completed,male,high school,free/reduced,Section E,57,66,61
EXA005172,completed,female,bachelor's degree,free/reduced,Section C,82,88,73
EXA005173,none,male,some college,standard,Section A,53,84,68
EXA005174,none,male,master's degree,free/reduced,Section C,89,72,55
EXA005175,none,male,master's degree,free/reduced,Section E,89,56,72
EXA005176,none,female,some college,free/reduced,Section C,75,39,36
EXA005177,none,female,high school,standard,Section C,62,84,73
EXA005178,none,female,associate's degree,free/reduced,Section E,63,40,53
EXA005179,completed,female,associate's degree,standard,Section D,100,75,66
EXA005180,none,male,high school,free/reduced,Section C,62,78,81
EXA005181,completed,female,associate's degree,standard,Section D,75,56,72
EXA005182,none,female,some college,standard,Section B,51,63,41
EXA005183,none,male,associate's degree,standard,Section E,74,68,68
EXA005184,completed,male,associate's degree,standard,Section D,66,63,44
EXA005185,none,male,some college,standard,Section B,52,70,60
EXA005186,none,male,high school,free/reduced,Section D,69,73,83
EXA005187,none,male,some high school,standard,Section D,46,54,66
EXA005188,none,female,associate's degree,standard,Section E,74,72,79
EXA005189,none,male,associate's degree,standard,Section D,100,70,75
EXA005190,completed,female,associate's degree,standard,Section B,83,53,63
EXA005191,none,female,associate's degree,free/reduced,Section D,82,48,56
EXA005192,completed,female,high school,free/reduced,Section B,58,93,84
EXA005193,none,female,master's degree,free/reduced,Section D,59,56,62
EXA005194,completed,male,high school,standard,Section D,77,65,75
EXA005195,none,female,some high school,standard,Section A,61,53,77
EXA005196,none,female,some college,free/reduced,Section E,85,49,65
EXA005197,completed,male,associate's degree,standard,Section D,59,54,59
EXA005198,completed,male,associate's degree,free/reduced,Section C,71,56,37
EXA005199,none,male,master's degree,standard,Section E,52,73,86
EXA005200,completed,male,associate's degree,free/reduced,Section C,62,77,36
EXA005201,completed,male,associate's degree,standard,Section C,47,77,78
EXA005202,none,male,high school,standard,Section B,96,85,78
EXA005203,none,male,some college,standard,Section D,48,82,51
EXA005204,none,female,high school,standard,Section B,20,61,63
EXA005205,none,male,bachelor's degree,standard,Section C,70,68,66
EXA005206,completed,male,associate's degree,standard,Section A,59,62,67
EXA005207,completed,male,some college,standard,Section C,80,73,71
EXA005208,none,female,high school,standard,Section E,83,82,69
EXA005209,completed,male,some high school,standard,Section D,75,64,44
EXA005210,completed,female,high school,free/reduced,Section E,73,77,72
EXA005211,completed,female,master's degree,free/reduced,Section E,78,45,72
EXA005212,none,male,some high school,standard,Section D,94,95,43
EXA005213,completed,female,some college,standard,Section B,46,79,42
EXA005214,none,male,high school,standard,Section C,77,54,100
EXA005215,none,female,some college,standard,Section C,63,74,54
EXA005216,none,female,master's degree,standard,Section D,64,58,56
EXA005217,completed,female,some high school,standard,Section E,60,43,51
EXA005218,none,female,bachelor's degree,standard,Section C,74,57,50
EXA005219,none,male,some high school,standard,Section C,67,46,47
EXA005220,completed,male,some high school,standard,Section D,78,71,47
EXA005221,completed,male,some high school,free/reduced,Section C,88,59,74
EXA005222,none,female,some college,free/reduced,Section D,52,69,75
EXA005223,none,female,associate's degree,standard,Section C,88,91,80
EXA005224,none,female,high school,free/reduced,Section B,78,45,99
EXA005225,none,female,associate's degree,free/reduced,Section B,55,71,83
EXA005226,none,male,high school,free/reduced,Section C,71,69,61
EXA005227,completed,female,some high school,free/reduced,Section B,75,53,74
EXA005228,none,female,high school,free/reduced,Section C,62,68,54
EXA005229,none,male,associate's degree,standard,Section D,66,71,70
EXA005230,completed,male,some high school,standard,Section C,39,86,82
EXA005231,completed,female,some college,free/reduced,Section D,85,70,54
EXA005232,none,female,some high school,standard,Section C,46,63,78
EXA005233,completed,female,some high school,free/reduced,Section D,57,56,46
EXA005234,completed,male,some college,standard,Section E,65,45,93
EXA005235,none,male,bachelor's degree,standard,Section B,86,65,73
EXA005236,completed,male,associate's degree,free/reduced,Section B,59,68,52
EXA005237,none,male,some college,standard,Section C,49,57,80
EXA005238,completed,male,associate's degree,standard,Section A,51,61,63
EXA005239,none,male,high school,standard,Section B,53,96,40
EXA005240,none,male,associate's degree,standard,Section C,82,87,60
EXA005241,completed,male,master's degree,free/reduced,Section D,51,60,44
EXA005242,none,female,some college,standard,Section A,74,53,62
EXA005243,completed,male,some college,standard,Section C,73,66,55
EXA005244,none,female,some college,standard,Section D,42,86,62
EXA005245,none,male,master's degree,standard,Section D,41,59,98
EXA005246,completed,female,some high school,standard,Section D,84,55,41
EXA005247,none,male,some college,standard,Section E,64,68,70
EXA005248,none,male,master's degree,standard,Section B,74,68,55
EXA005249,none,male,bachelor's degree,standard,Section C,91,67,48
EXA005250,completed,male,associate's degree,free/reduced,Section C,67,77,67
EXA005251,none,female,bachelor's degree,standard,Section C,54,51,76
EXA005252,none,male,some college,standard,Section C,44,76,80
EXA005253,none,male,some college,standard,Section D,65,57,63
EXA005254,none,female,some college,standard,Section C,37,72,63
EXA005255,completed,female,associate's degree,standard,Section C,58,78,53
EXA005256,completed,female,some college,standard,Section D,69,88,44
EXA005257,none,female,associate's degree,standard,Section B,64,73,62
EXA005258,completed,female,high school,free/reduced,Section B,70,75,67
EXA005259,none,male,some college,free/reduced,Section C,55,85,63
EXA005260,none,male,high school,standard,Section D,45,68,63
EXA005261,none,male,bachelor's degree,standard,Section C,80,76,99
EXA005262,none,male,associate's degree,standard,Section D,77,80,87
EXA005263,none,female,some college,free/reduced,Section C,57,86,61
EXA005264,none,female,high school,free/reduced,Section C,67,57,58
EXA005265,none,female,some high school,standard,Section D,68,62,64
EXA005266,completed,female,some high school,standard,Section B,49,83,83
EXA005267,none,female,some high school,standard,Section B,42,78,53
EXA005268,completed,male,associate's degree,free/reduced,Section C,96,44,52
EXA005269,none,male,some college,standard,Section E,55,96,69
EXA005270,completed,female,some high school,free/reduced,Section D,70,47,70
EXA005271,none,female,bachelor's degree,standard,Section B,51,57,64
EXA005272,completed,female,some college,standard,Section C,27,81,67
EXA005273,completed,female,master's degree,standard,Section C,60,94,43
EXA005274,completed,female,associate's degree,standard,Section B,44,60,64
EXA005275,none,female,bachelor's degree,standard,Section E,63,57,49
EXA005276,none,female,high school,standard,Section E,72,27,72
EXA005277,completed,male,high school,free/reduced,Section C,82,79,76
EXA005278,none,female,high school,free/reduced,Section B,82,100,87
EXA005279,none,female,bachelor's degree,standard,Section B,70,75,76
EXA005280,completed,male,high school,standard,Section D,76,89,79
EXA005281,none,male,master's degree,standard,Section D,62,69,80
EXA005282,completed,female,associate's degree,free/reduced,Section D,58,85,68
EXA005283,none,female,high school,standard,Section B,61,78,74
EXA005284,completed,female,bachelor's degree,free/reduced,Section D,88,66,82
EXA005285,none,female,some college,standard,Section E,61,64,82
EXA005286,completed,male,associate's degree,standard,Section B,88,82,58
EXA005287,completed,female,some high school,standard,Section D,57,75,65
EXA005288,none,female,associate's degree,standard,Section C,92,61,77
EXA005289,none,female,some college,free/reduced,Section C,80,100,83
EXA005290,none,female,associate's degree,free/reduced,Section C,62,62,43
EXA005291,none,female,some college,standard,Section C,71,66,89
EXA005292,completed,male,some high school,free/reduced,Section D,54,55,55
EXA005293,none,male,master's degree,standard,Section D,43,64,60
EXA005294,completed,female,master's degree,standard,Section C,51,61,75
EXA005295,none,male,some college,standard,Section C,57,71,93
EXA005296,none,female,master's degree,standard,Section E,62,69,52
EXA005297,none,female,master's degree,standard,Section E,48,76,62
EXA005298,none,female,some college,free/reduced,Section D,61,73,19
EXA005299,none,male,high school,standard,Section C,94,78,84
EXA005300,none,male,some college,standard,Section C,44,62,100
EXA005301,none,female,high school,standard,Section D,56,48,73
EXA005302,none,male,high school,standard,Section C,68,70,96
EXA005303,none,male,bachelor's degree,standard,Section E,61,77,60
EXA005304,none,female,associate's degree,standard,Section D,49,89,81
EXA005305,completed,female,bachelor's degree,standard,Section A,71,48,75
EXA005306,none,male,some high school,standard,Section D,78,73,69
EXA005307,none,female,associate's degree,standard,Section E,74,67,64
EXA005308,none,male,bachelor's degree,standard,Section C,66,84,86
EXA005309,none,female,master's degree,standard,Section C,61,81,74
EXA005310,completed,male,high school,standard,Section D,59,66,64
EXA005311,none,male,master's degree,standard,Section B,49,80,100
EXA005312,none,female,high school,standard,Section C,61,79,63
EXA005313,none,male,master's degree,standard,Section A,54,78,59
EXA005314,none,male,some college,standard,Section E,45,51,61
EXA005315,none,female,associate's degree,free/reduced,Section B,81,72,64
EXA005316,completed,female,associate's degree,standard,Section B,71,76,57
EXA005317,completed,male,associate's degree,free/reduced,Section C,67,74,87
EXA005318,completed,male,some college,standard,Section B,56,48,70
EXA005319,none,female,associate's degree,standard,Section D,60,68,76
EXA005320,none,male,associate's degree,standard,Section E,95,65,69
EXA005321,none,male,associate's degree,standard,Section C,60,69,68
EXA005322,completed,male,high school,standard,Section D,60,77,57
EXA005323,completed,male,associate's degree,free/reduced,Section B,82,75,53
EXA005324,none,male,some college,standard,Section A,78,76,72
EXA005325,none,male,bachelor's degree,standard,Section E,57,79,70
EXA005326,none,female,associate's degree,standard,Section C,72,65,83
EXA005327,none,female,some high school,free/reduced,Section E,37,67,54
EXA005328,completed,male,high school,standard,Section D,72,68,77
EXA005329,completed,female,bachelor's degree,free/reduced,Section D,52,66,59
EXA005330,completed,female,some college,standard,Section B,80,97,87
EXA005331,none,male,some college,free/reduced,Section D,89,66,70
EXA005332,completed,female,some high school,standard,Section A,84,68,68
EXA005333,none,male,master's degree,standard,Section E,67,49,78
EXA005334,none,male,some high school,standard,Section D,59,50,75
EXA005335,none,female,master's degree,standard,Section D,95,84,74
EXA005336,none,female,some high school,standard,Section B,71,65,51
EXA005337,none,male,high school,standard,Section E,72,39,66
EXA005338,completed,female,associate's degree,free/reduced,Section C,83,95,71
EXA005339,none,male,associate's degree,standard,Section C,94,70,73
EXA005340,none,female,high school,standard,Section B,58,63,33
EXA005341,none,female,associate's degree,standard,Section B,75,68,71
EXA005342,none,male,master's degree,free/reduced,Section A,65,42,70
EXA005343,completed,female,high school,standard,Section A,68,72,68
EXA005344,completed,male,master's degree,free/reduced,Section B,34,50,79
EXA005345,none,female,master's degree,free/reduced,Section D,97,67,73
EXA005346,none,female,high school,standard,Section C,44,58,82
EXA005347,none,male,some college,standard,Section C,60,60,76
EXA005348,none,female,some college,standard,Section D,66,86,58
EXA005349,none,female,bachelor's degree,standard,Section C,96,56,67
EXA005350,none,male,bachelor's degree,standard,Section C,39,76,68
EXA005351,completed,female,some high school,standard,Section A,56,68,71
EXA005352,none,male,some high school,standard,Section B,31,45,85
EXA005353,completed,male,some high school,free/reduced,Section D,74,64,64
EXA005354,none,female,high school,free/reduced,Section D,100,79,66
EXA005355,none,male,associate's degree,standard,Section D,68,84,43
EXA005356,completed,male,some college,standard,Section C,79,90,37
EXA005357,none,female,master's degree,standard,Section B,62,69,88
EXA005358,completed,female,associate's degree,free/reduced,Section C,72,70,67
EXA005359,completed,female,some college,standard,Section E,66,82,33
EXA005360,completed,female,some college,free/reduced,Section A,64,50,93
EXA005361,none,male,some college,free/reduced,Section D,62,77,62
EXA005362,none,female,high school,standard,Section B,68,73,65
EXA005363,none,male,high school,standard,Section E,70,64,67
EXA005364,none,female,associate's degree,standard,Section B,63,70,35
EXA005365,none,female,associate's degree,standard,Section B,91,85,79
EXA005366,none,male,some college,standard,Section C,58,87,47
EXA005367,none,male,master's degree,free/reduced,Section E,75,66,74
EXA005368,none,male,high school,free/reduced,Section C,44,47,51
EXA005369,completed,male,some high school,standard,Section C,68,68,57
EXA005370,none,male,master's degree,free/reduced,Section E,65,80,89
EXA005371,completed,female,some high school,free/reduced,Section E,66,89,57
EXA005372,none,female,some college,standard,Section E,73,96,73
EXA005373,none,male,master's degree,standard,Section B,67,56,70
EXA005374,none,male,some high school,standard,Section A,66,59,44
EXA005375,completed,male,associate's degree,free/reduced,Section D,81,68,59
EXA005376,none,female,high school,standard,Section D,77,89,72
EXA005377,completed,male,some high school,free/reduced,Section A,43,52,78
EXA005378,none,female,high school,standard,Section D,58,86,90
EXA005379,none,female,high school,standard,Section E,65,69,71
EXA005380,none,male,master's degree,standard,Section C,92,30,71
EXA005381,completed,female,high school,free/reduced,Section E,56,53,81
EXA005382,completed,female,master's degree,free/reduced,Section C,65,78,41
EXA005383,none,female,some high school,standard,Section E,72,79,78
EXA005384,none,female,some college,standard,Section D,100,67,69
EXA005385,none,male,associate's degree,standard,Section B,69,70,55
EXA005386,completed,male,some college,standard,Section D,70,93,73
EXA005387,none,female,some high school,standard,Section E,90,90,94
EXA005388,none,male,high school,free/reduced,Section C,90,88,83
EXA005389,none,female,some high school,standard,Section C,63,68,63
EXA005390,completed,male,high school,free/reduced,Section B,40,57,32
EXA005391,none,female,associate's degree,free/reduced,Section E,64,72,69
EXA005392,none,female,some college,standard,Section B,90,33,82
EXA005393,none,male,bachelor's degree,standard,Section C,76,67,96
EXA005394,completed,male,some college,free/reduced,Section D,42,58,100
EXA005395,none,female,associate's degree,standard,Section C,45,62,63
EXA005396,completed,male,bachelor's degree,standard,Section B,76,89,52
EXA005397,completed,female,some high school,free/reduced,Section B,63,65,62
EXA005398,completed,male,some college,free/reduced,Section D,84,94,87
EXA005399,none,male,some high school,standard,Section B,62,64,51
EXA005400,completed,male,bachelor's degree,standard,Section B,69,97,84
EXA005401,none,female,some high school,free/reduced,Section D,77,57,65
EXA005402,none,female,some college,standard,Section D,63,55,26
EXA005403,none,female,high school,free/reduced,Section B,72,87,47
EXA005404,completed,male,high school,standard,Section C,75,87,74
EXA005405,completed,male,high school,standard,Section C,61,92,65
EXA005406,completed,female,associate's degree,free/reduced,Section C,79,49,73
EXA005407,none,male,high school,standard,Section C,53,49,75
EXA005408,completed,male,high school,standard,Section A,77,58,94
EXA005409,none,female,high school,standard,Section C,44,73,89
EXA005410,none,female,some college,standard,Section C,44,53,81
EXA005411,none,male,high school,free/reduced,Section C,71,80,75
EXA005412,completed,male,bachelor's degree,standard,Section B,60,61,59
EXA005413,completed,female,bachelor's degree,standard,Section B,49,32,70
EXA005414,none,male,bachelor's degree,standard,Section D,82,92,32
EXA005415,none,male,some college,standard,Section B,68,89,64
EXA005416,none,female,high school,free/reduced,Section B,58,75,54
EXA005417,completed,male,master's degree,free/reduced,Section C,65,55,61
EXA005418,completed,female,associate's degree,standard,Section B,50,85,87
EXA005419,none,male,some college,standard,Section C,73,62,69
EXA005420,none,male,some high school,standard,Section C,40,60,91
EXA005421,completed,female,some high school,free/reduced,Section D,60,71,63
EXA005422,none,male,some college,free/reduced,Section B,57,65,91
EXA005423,none,female,associate's degree,standard,Section A,57,50,61
EXA005424,none,female,some college,standard,Section C,83,81,46
EXA005425,none,female,high school,free/reduced,Section C,68,90,90
EXA005426,none,female,some high school,standard,Section D,74,65,89
EXA005427,none,female,master's degree,free/reduced,Section D,76,90,97
EXA005428,none,female,high school,free/reduced,Section D,38,76,47
EXA005429,completed,female,some college,free/reduced,Section C,63,83,43
EXA005430,none,female,some college,standard,Section C,87,80,56
EXA005431,completed,female,some college,free/reduced,Section D,81,75,65
EXA005432,none,female,high school,free/reduced,Section E,84,73,54
EXA005433,none,male,associate's degree,standard,Section C,68,59,75
EXA005434,none,male,associate's degree,standard,Section D,57,63,57
EXA005435,none,female,high school,standard,Section B,75,56,28
EXA005436,none,female,master's degree,standard,Section D,39,83,93
EXA005437,completed,female,master's degree,standard,Section C,54,100,89
EXA005438,none,male,associate's degree,standard,Section A,71,38,81
EXA005439,none,female,associate's degree,free/reduced,Section A,58,67,51
EXA005440,none,female,bachelor's degree,free/reduced,Section C,61,84,84
EXA005441,none,male,some high school,standard,Section C,82,72,66
EXA005442,none,female,high school,standard,Section C,73,68,55
EXA005443,none,female,high school,free/reduced,Section B,52,75,70
EXA005444,completed,female,some college,standard,Section B,33,81,56
EXA005445,completed,male,some college,standard,Section E,67,86,61
EXA005446,none,male,some college,standard,Section A,61,44,87
EXA005447,none,male,bachelor's degree,free/reduced,Section B,86,65,97
EXA005448,none,female,bachelor's degree,standard,Section C,98,90,62
EXA005449,none,female,master's degree,standard,Section A,72,79,90
EXA005450,none,male,high school,standard,Section C,60,50,78
EXA005451,none,female,associate's degree,standard,Section D,66,53,79
EXA005452,none,female,associate's degree,standard,Section E,86,41,76
EXA005453,none,female,bachelor's degree,free/reduced,Section C,45,46,84
EXA005454,none,male,master's degree,standard,Section D,75,65,64
EXA005455,none,male,bachelor's degree,free/reduced,Section C,51,66,55
EXA005456,completed,female,some college,free/reduced,Section B,21,60,67
EXA005457,none,male,high school,standard,Section D,54,74,53
EXA005458,none,female,some high school,standard,Section B,83,91,86
EXA005459,completed,female,high school,standard,Section C,74,65,96
EXA005460,none,female,associate's degree,standard,Section C,73,57,46
EXA005461,none,female,some high school,standard,Section D,69,40,68
EXA005462,completed,female,bachelor's degree,standard,Section B,81,56,81
EXA005463,none,female,some high school,standard,Section A,95,65,62
EXA005464,completed,male,high school,free/reduced,Section E,97,98,65
EXA005465,completed,female,bachelor's degree,free/reduced,Section C,62,100,77
EXA005466,none,female,high school,free/reduced,Section B,63,100,72
EXA005467,none,female,high school,standard,Section A,50,59,76
EXA005468,completed,male,bachelor's degree,standard,Section B,25,66,44
EXA005469,none,female,some college,standard,Section C,73,75,60
EXA005470,completed,male,high school,standard,Section D,57,71,93
EXA005471,none,male,some high school,free/reduced,Section E,64,94,75
EXA005472,completed,female,high school,standard,Section D,86,49,47
EXA005473,none,male,master's degree,standard,Section C,62,74,51
EXA005474,none,male,some high school,standard,Section A,97,66,40
EXA005475,none,female,some college,standard,Section D,62,73,50
EXA005476,none,female,high school,free/reduced,Section D,91,74,67
EXA005477,none,male,some college,free/reduced,Section A,60,57,75
EXA005478,none,female,some college,standard,Section C,59,77,63
EXA005479,none,male,some high school,standard,Section C,75,59,68
EXA005480,completed,male,some high school,standard,Section C,79,89,81
EXA005481,none,female,some high school,standard,Section B,79,59,65
EXA005482,completed,male,associate's degree,free/reduced,Section C,34,70,55
EXA005483,completed,female,some high school,standard,Section D,49,40,45
EXA005484,none,male,some college,free/reduced,Section B,47,69,58
EXA005485,none,female,associate's degree,standard,Section C,78,69,62
EXA005486,none,male,associate's degree,free/reduced,Section D,46,39,99
